Karmn,Name,GJ,RA_J2016_deg,DE_J2016_deg,l_J2016_deg,b_J2016_deg,Ref01,SpT,SpTnum,Ref02,Teff_K,eTeff_K,logg,elogg,[Fe/H],e[Fe/H],Ref03,L_Lsol,eL_Lsol,R_Rsol,eR_Rsol,Ref04,M_Msol,eM_Msol,Massflag,Ref05,muRA_masa-1,emuRA_masa-1,muDE_masa-1,emuDE_masa-1,Ref06,pi_mas,epi_mas,Ref07,d_pc,ed_pc,Ref08,Vr_kms-1,eVr_kms-1,Ref09,U_kms-1,eU_kms-1,V_kms-1,eV_kms-1,W_kms-1,eW_kms-1,Ref10,sa_m/s/a,esa_m/s/a,Ref11,SKG,Ref12,Pop,Ref13,vsini_flag,vsini_kms-1,evsini_kms-1,Ref14,P_d,eP_d,Ref15,pEWHalpha_A,epEWHalpha_A,Ref16,log(LHalpha/Lbol),elog(LHalpha/Lbol),Ref17,1RXS,CRT_s-1,eCRT_s-1,HR1,eHR1,HR2,eHR2,Flux_X_E-13_ergcm-2s-1,eFlux_X_E-13_ergcm-2s-1,LX/LJ,eLX/LJ,Ref18,Activity,Ref19,FUV_mag,eFUV_mag,NUV_mag,eNUV_mag,Ref20,u_mag,eu_mag,Ref21,BT_mag,eBT_mag,Ref22,B_mag,eB_mag,Ref23,BP_mag,eBP_mag,Ref24,g_mag,eg_mag,Ref25,VT_mag,eVT_mag,Ref26,GG_mag,eGG_mag,Ref27,V_mag,eV_mag,Ref28,Ra_mag,Ref29,r_mag,er_mag,Ref30,RP_mag,eRP_mag,Ref31,i_mag,ei_mag,Ref32,IN_mag,Ref33,J_mag,eJ_mag,H_mag,eH_mag,Ks_mag,eKs_mag,QFlag_2MASS,Ref34,W1_mag,eW1_mag,W2_mag,eW2_mag,W3_mag,eW3_mag,W4_mag,eW4_mag,QFlag_WISE,Ref35,Multiplicity,Comp,WideWDS,Widerho_arcsec,eWiderho_arcsec,Ref36,WideCompanionName,WideCompanionSpT,CloseWDS,Closerho_arcsec,eCloserho_arcsec,Ref37,CloseCompanionSpT,RV,Planet,Ref38,PlanetNum,LoRes_spectrum,HiRes_spectrum,LoRes_imaging,HiRes_imaging,RA_J2000,DE_J2000,Ref39,SS,Class,Flags,Notes,Gaia_id_1,Gaia_id_2,2MASS_id
J09439+269,Ross 93,3564,145.978930417753,26.968566626276786,201.985034064965,48.5006565474278,Gaia2,M3.5 V,3.5,PMSU,3427.0,51.0,4.98,0.07,-0.02,0.16,Schw19,0.01833,2.87E-4,0.3839,0.01181,Schw19,0.3811,0.016,,Schw19,-578.05,0.12,-101.23,0.09,Gaia2,69.5,0.09,Gaia2,14.39,0.02,Gaia2,34.1788947345789,0.025293139267618434,Lafa20,-49.17,0.04,-18.78,0.01,-0.92,0.04,CC19,0.11356634999313099,0.0073579242845885785,Wolt17,HS,CC19,D,CC19,<,2.0,,Rein18,13.7,0.9,DA19,0.08,0.016,Schf19,,,Schf19,,,,,,,,,,,,,,,,,21.24,0.249,GALEX,16.934,0.013,SDSS9,,,,13.689,0.13,UCAC4,12.3048,0.0018,Gaia2,12.829,0.11,UCAC4,12.038,0.01,TYC2,10.8381,0.0012,Gaia2,12.07,0.01,UCAC4,11.607,UCAC4,11.542,0.11,UCAC4,9.6854,0.0018,Gaia2,10.14,0.09,UCAC4,,,8.035,0.026,7.461,0.024,7.19,0.023,AAA,2M,6.907,0.049,6.847,0.021,6.781,0.017,6.744,0.083,AAAA,WISE,Single,-,,,,,,,,,,,,CARMENES,No,,0,,CAFE,,(FastCam) [WD15],09:43:55.63,+26:58:08.6,2M,S2,Alpha,,,646818024623804416,,09435563+2658085
J09447-182,GJ 1129,1129,146.19002960429134,-18.214340072992655,252.718261600012,25.95000688097486,Gaia2,M4.0 V,4.0,PMSU,3362.0,51.0,5.02,0.07,0.03,0.16,Schw19,0.009466,1.22E-4,0.2867,0.008891,Schw19,0.2784,0.01302,,Schw19,-1599.95,0.14,-171.72,0.16,Gaia2,90.82,0.08,Gaia2,11.01,0.01,Gaia2,8.337464529977122,0.02400397962915378,Lafa20,-60.03,0.06,-19.59,0.02,-56.0,0.05,CC19,0.6560847696378456,0.006527087645806417,Wolt17,,,TD-D,CC19,<,2.0,,Rein18,,,,0.087,0.012,Schf19,,,Schf19,,,,,,,,,,,,,,,,,21.708,0.382,GALEX,,,,,,,14.105,0.08,UCAC4,12.7027,0.0037,Gaia2,13.194,0.03,UCAC4,,,,11.0848,0.001,Gaia2,12.455,0.05,UCAC4,12.228,UCAC3,11.845,0.03,UCAC4,9.8756,0.0016,Gaia2,10.33,0.01,UCAC4,9.68,US-B1,8.122,0.026,7.536,0.038,7.257,0.02,AAA,2M,6.975,0.048,6.91,0.02,6.839,0.015,6.779,0.072,AAAA,WISE,Single,-,,,,,,,,,,,,CARMENES+HARPS,No,,0,,,,FastCam,09:44:47.31,-18:12:48.9,2M,S1,Alpha,.m.,,5683871247496205312,,09444731-1812489
J09449-123,G 161-071,,146.22434176531632,-12.348264907198622,247.87284578526302,29.96374698830192,Gaia2,M5.0 V,5.0,AF15a,3000.0,50.0,,,,,Schw19,0.00855,1.26E-4,0.3422,0.01168,Schw19,0.337,0.01561,,Schw19,-331.34,0.17,40.03,0.17,Gaia2,76.17,0.09,Gaia2,13.13,0.02,Gaia2,16.958918116216715,0.3642783163624475,Lafa20,-22.55,0.12,-14.12,0.3,-3.43,0.19,CC19,0.03365901440480356,4.1231151578911504E-4,Wolt17,Arg,Malo13,YD,CC19,=,31.2,3.1,Rein18,,,,-14.0,0.08,Schf19,-3.3776,0.002300000051036477,Schf19,J094454.2-122047,0.282,0.027,-0.15,0.09,-0.17,0.13,21.19,2.03,16.95,1.95,1RXS,RV-loud,Sade20,20.5,0.254,19.113,0.088,GALEX,,,,,,,15.366,0.27,UCAC4,13.9512,0.0179,Gaia2,14.495,0.11,UCAC4,,,,11.9081,0.0037,Gaia2,13.75,0.11,UCAC4,13.454,UCAC4,13.125,0.1,UCAC4,10.5498,0.0099,Gaia2,11.174,0.06,UCAC4,10.19,US-B1,8.496,0.024,7.919,0.024,7.601,0.018,AAA,2M,7.359,0.034,7.194,0.02,7.057,0.017,7.034,0.109,AAAA,WISE,Single,-,,,,,,,,,,,,CARMENES,No,,0,CAFOS,CAFE,,FastCam [ALux Bow15],09:44:54.22,-12:20:54.4,2M,S1,Alpha,,,5690846274384548864,,09445422-1220544
J09461-044,G 161-074,3566,146.53615470981055,-4.4279686385284025,240.88600218766064,35.28023352453821,Gaia2,M4.0 V+,4.0,PMSU,,,,,,,,,,,,,,,,,-555.1,0.24,165.93,0.22,Gaia2,50.17,0.13,Gaia2,19.93,0.05,Gaia2,,,,,,,,,,,0.15048947590082196,0.0061782036310039645,Wolt17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.827,0.12,UCAC4,14.4851,0.0198,Gaia2,14.946,0.09,UCAC4,,,,13.0383,0.0039,Gaia2,14.099,0.04,UCAC4,14.146,UCAC3,13.442,0.01,UCAC4,11.5281,0.0157,Gaia2,11.831,0.1,UCAC4,10.88,US-B1,9.688,0.027,9.154,0.03,8.832,0.027,AAA,2M,8.566,0.023,8.376,0.02,8.243,0.021,7.91,0.194,AAAB,WISE,Resolved Physical,AB,,,,,,,JNN276,1153,12,Jan14,,,No,,0,,,,(Astralux),09:46:09.29,-04:25:43.0,2M,SX,Delta,B.F,#,3825820772648802816,3825820772648802688,09460928-0425429
J09468+760,BD+76 3952,366,146.7035848800975,76.03960935574678,135.39117213926735,36.24540568052951,Gaia2,M1.5 V,1.5,PMSU,3680.0,51.0,4.78,0.07,-0.01,0.16,Schw19,0.04265,5.58E-4,0.5079,0.01446,Schw19,0.5119,0.01912,,Schw19,87.33,0.04,-1000.59,0.05,Gaia2,63.31,0.03,Gaia2,15.79,0.01,Gaia2,-28.09399250095587,0.023019298320360686,Lafa20,-1.68,0.02,-76.52,0.04,24.16,0.03,CC19,0.3647574001787187,0.0016660266126566582,Wolt17,,,TD,CC19,<,2.0,,Rein18,,,,0.118,0.014,Schf19,,,Schf19,,,,,,,,,,,,,,,,,20.174,0.137,GALEX,,,,12.039,0.096,TYC2,11.949,0.06,UCAC4,10.8899,0.0019,Gaia2,11.356,0.04,UCAC4,,,,9.7846,7.0E-4,Gaia2,10.579,0.04,UCAC4,10.148,UCAC3,10.057,0.05,UCAC4,8.7738,0.0016,Gaia2,9.083,0.02,UCAC4,9.53,US-B1,7.437,0.029,6.841,0.018,6.629,0.024,AAA,2M,6.539,0.081,6.338,0.024,6.376,0.016,6.29,0.047,AAAA,WISE,Single,-,,,,,,,,,,,,CARMENES,No,,0,,CAFEbis,,(FastCam) FastCam,09:46:48.45,+76:02:38.8,2M,S3,Alpha,,,1130450270073924608,,09464844+7602388
J09473+263,BD+26 2004,,146.84231804766063,26.301964958658594,203.21271487925262,49.12224759478528,Gaia2,M0.0 V,0.0,Lep13,,,,,,,,,,,,,0.6470272,0.015812065,,Karmn,-212.0,0.08,-353.31,0.08,Gaia2,29.43,0.05,Gaia2,33.98,0.05,Gaia2,63.53,0.22,Gaia2,-50.41,0.14,-74.55,0.1,18.49,0.17,CC19,0.13327380403081518,0.002097117057970658,Wolt17,,,TD,CC19,,,,,,,,-0.5,,Lep13,,,,,,,,,,,,,,,,,,,,19.723,0.085,GALEX,15.705,0.01,SDSS9,12.934,0.318,TYC2,12.284,0.08,UCAC4,11.0923,0.001,Gaia2,11.62,0.09,UCAC4,11.15,0.094,TYC2,10.2025,6.0E-4,Gaia2,10.849,0.07,UCAC4,10.371,UCAC3,10.348,0.11,UCAC4,9.307,0.001,Gaia2,9.685,0.07,UCAC4,9.29,US-B1,8.141,0.019,7.547,0.021,7.343,0.021,AAA,2M,7.161,0.041,7.315,0.02,7.251,0.018,7.132,0.104,AAAA,WISE,Single,-,,,,,,,,,,,,,No,,0,,,,,09:47:22.42,+26:18:12.8,2M,,Gamma,..F,,646534556782461056,,09472241+2618128
J09475+129,LP 488-037,3568,146.89465018316966,12.945177447778157,221.816534341552,44.83413372017399,Gaia2,M4.0 V,4.0,PMSU,,,,,,,,,,,,,0.3149443,0.0076492704,,Karmn,-87.81,0.1,226.69,0.09,Gaia2,47.1,0.07,Gaia2,21.23,0.03,Gaia2,50.63,0.07,Jeff18,-42.04,0.04,-4.88,0.04,37.02,0.05,CC19,0.02738932796991842,0.001571880789040596,Wolt17,,,D,CC19,<,3.0,,Jeff18,,,,0.09,0.07,Schf15,,,,,,,,,,,,,,,,,,,,,,,17.683,0.045,SDSS9,,,,14.92,0.04,UCAC4,13.667,0.0025,Gaia2,14.091,0.03,UCAC4,,,,12.133,5.0E-4,Gaia2,13.418,0.03,UCAC4,13.087,UCAC3,12.828,0.03,UCAC4,10.9352,0.0017,Gaia2,11.34,0.07,UCAC4,10.8,US-B1,9.267,0.021,8.724,0.029,8.451,0.021,AAA,2M,8.31,0.024,8.129,0.02,8.04,0.024,7.699,0.25,AAAB,WISE,Single,-,,,,,,,,,,,,,No,,0,,FEROS,,FastCam,09:47:34.81,+12:56:39.1,2M,S1,Beta,..f,,614339786873867264,,09473481+1256390
J09488+156,G 43-2,,147.2090803501297,15.646783364573277,218.48118619446717,46.224780833371135,Gaia2,M3.0 V,3.0,AF15a,,,,,,,,,,,,,0.24991022,0.0063023944,,Karmn,-19.64,0.1,228.9,0.11,Gaia2,58.35,0.06,Gaia2,17.14,0.02,Gaia2,-0.8,0.2,Shk12,-7.31,0.11,16.84,0.09,3.45,0.14,CC19,0.0290323299927714,8.749514477467031E-4,Wolt17,,,D,CC19,,,,,,,,-2.9,0.4,AF15a,,,,J094851.0+153901,0.0786,0.0178,0.07,0.23,0.19,0.31,6.82,1.55,11.48,3.06,1RXS,,,21.186,0.325,20.322,0.17,GALEX,16.67,0.008,SDSS9,,,,14.861,0.04,UCAC4,13.4806,0.0028,Gaia2,13.978,0.05,UCAC4,,,,12.0461,5.0E-4,Gaia2,13.245,0.02,UCAC4,12.507,UCAC3,12.612,0.03,UCAC4,10.8871,7.0E-4,Gaia2,11.307,0.07,UCAC4,,,9.303,0.022,8.731,0.029,8.47,0.025,AAA,2M,8.315,0.023,8.135,0.02,8.018,0.022,8.009,0.214,AAAB,WISE,Single,-,,,,,,,,,,,,,No,,0,CAFOS,,,,09:48:50.20,+15:38:44.9,2M,,Gamma,..F,#20-150Ma Shk09.,619440661833351040,,09485020+1538449
J09506-138,LP 728-070,,147.66966666666664,-13.811194444444448,250.21623151268545,30.01586326486445,Min15,M4.0 V+,4.0,Sch05,,,,,,,,,,,,,,,,,152.0,5.3,-99.0,5.3,PPMXL,,,,11.9,0.5,Cor17,,,,,,,,,,,0.008998266821549037,6.476309012859112E-4,Wolt17,,,,,,,,,,,,0.19,0.1,Schf15,,,,,,,,,,,,,,,,,,,,21.288,0.372,GALEX,,,,,,,14.31,0.06,UCAC4,,,,13.453,0.05,UCAC4,,,,,,,12.713,0.01,UCAC4,12.403,UCAC4,12.131,0.03,UCAC4,,,,10.654,0.02,UCAC4,9.87,US-B1,8.579,0.034,7.972,0.034,7.717,0.023,AAA,2M,7.488,0.032,7.374,0.02,7.281,0.016,7.162,0.096,AAAA,WISE,SB2,AB,,,,,,,,,,Jeff18,,,No,,0,,CAFEbis,,FastCam,09:50:40.54,-13:48:38.6,2M,SX,Delta,S..,,,,09504053-1348385
J09511-123,BD-11 2741,369,147.79518079359002,-12.3361216437287,249.05802991669376,31.10959888627839,Gaia2,M0.5 V,0.5,PMSU,3777.0,51.0,4.76,0.07,-0.07,0.16,Schw19,0.04536,7.21E-4,0.4972,0.014,Schw19,0.5006,0.01864,,Schw19,1137.62,0.07,-1455.58,0.06,Gaia2,76.23,0.05,Gaia2,13.12,0.01,Gaia2,61.85349535662531,0.01801808121531304,Lafa20,86.32,0.06,-94.86,0.04,24.06,0.05,CC19,1.024575979503864,0.0040165015265617755,Wolt17,,,TD,CC19,<,2.0,,Rein18,,,,-0.027,0.013,Schf19,,,Schf19,,,,,,,,,,,,,,,,,,,,,,,11.862,0.129,TYC2,11.48,0.03,UCAC4,10.2895,0.0033,Gaia2,10.792,0.04,UCAC4,10.133,0.047,TYC2,9.2393,8.0E-4,Gaia2,10.069,0.04,UCAC4,9.519,UCAC3,9.66,0.01,UCAC4,8.2579,0.0021,Gaia2,8.552,0.02,UCAC4,8.28,US-B1,6.988,0.024,6.4,0.036,6.15,0.026,AAA,2M,6.094,0.09,5.886,0.04,5.919,0.016,5.827,0.048,AAAA,WISE,Single,-,,,,,,,,,,,,CARMENES+HARPS,No,,0,,FEROS,,FastCam [WD15],09:51:09.64,-12:19:47.8,2M,S3,Alpha,,,5690980582306104448,,09510964-1219478
J09526-156,LP 728-071,,148.17354736639166,-15.604400948456693,252.09384102342696,29.129008724536302,Gaia2,M3.5 V,3.5,AF15a,,,,,,,,,,,,,0.25304988,0.0061716936,,Karmn,-118.99,0.09,-134.32,0.09,Gaia2,56.7,0.06,Gaia2,17.64,0.02,Gaia2,-13.773,4.432,RAVE5,2.51,1.19,4.18,3.68,-19.78,2.16,CC19,0.014892202962137379,6.589903491739205E-4,Wolt17,,,D,CC19,,,,,,,,0.0,0.3,AF15a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.08,0.04,UCAC4,13.7178,0.0036,Gaia2,14.212,0.05,UCAC4,,,,12.1871,7.0E-4,Gaia2,13.463,0.05,UCAC4,13.403,UCAC3,12.85,0.04,UCAC4,10.9914,0.0019,Gaia2,11.429,0.04,UCAC4,10.3,US-B1,9.32,0.022,8.726,0.034,8.507,0.021,AAA,2M,8.317,0.022,8.157,0.019,8.028,0.023,7.766,0.236,AAAB,WISE,Single,-,,,,,,,,,,,,,No,,0,CAFOS,,,,09:52:41.77,-15:36:13.8,2M,,Gamma,.mF,,5686163724944033792,,09524176-1536137
J09527+554,G 195-043,,148.18849190213896,55.471196805649214,158.8861446378187,47.25740918167592,Gaia2,M1.5 V,1.5,Lep13,,,,,,,,,,,,,0.5390624,0.013568695,,Karmn,298.92,0.59,-201.23,0.64,Gaia2,28.51,0.36,Gaia2,35.07,0.44,Gaia2,,,,,,,,,,,0.09070924153114555,0.002120007098689166,Wolt17,,,,,,,,,,,,-0.36,,Lep13,,,,,,,,,,,,,,,,,,,,,,,15.83,0.006,SDSS9,,,,13.685,0.05,UCAC4,12.4473,0.0022,Gaia2,12.962,0.06,UCAC4,,,,11.3624,8.0E-4,Gaia2,12.165,0.02,UCAC4,11.794,UCAC3,11.577,0.03,UCAC4,10.3503,0.0018,Gaia2,10.657,0.01,UCAC4,9.9,US-B1,8.989,0.05,8.304,0.033,8.138,0.017,AAA,2M,7.988,0.023,7.937,0.02,7.834,0.019,7.739,0.162,AAAB,WISE,Single,-,,,,,,,,,,,,,No,,0,,,,,09:52:44.68,+55:28:19.4,2M,,Delta,..F,,1021178472339004032,1021178472339004288,09524467+5528193
J09531-036,GJ 372,372,148.29865521952678,-3.692103067995595,241.51682064291091,37.116864040813994,Gaia2,M2.0 V+,2.0,PMSU,,,,,,,,,,,,,,,,,-103.71,0.19,-459.42,0.27,Gaia2,62.98,0.08,Gaia2,15.88,0.02,Gaia2,,,,,,,,,,,0.08127731713252255,0.0012103313025811583,Wolt17,,,,,<,4.0,,Rein12,,,,0.19,0.1,Schf15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.065,0.08,UCAC4,10.7975,0.0045,Gaia2,11.264,0.02,UCAC4,10.568,0.004,TYC2,9.5473,8.0E-4,Gaia2,10.569,0.04,UCAC4,10.243,UCAC4,9.943,0.03,UCAC4,8.4723,0.0042,Gaia2,8.864,0.03,UCAC4,11.9,US-B1,6.998,0.019,6.409,0.038,6.13,0.026,AAA,2M,5.969,0.085,5.766,0.042,5.8,0.014,5.72,0.047,AAAA,WISE,SB2,AB,,,,,,,,,,Harl96,,HARPS,No,,0,,FEROS,,(FastCam),09:53:11.78,-03:41:24.0,2M,SX,Delta,S..,#SB2:Schf15,3823307284773157248,,09531178-0341240
J09535+507,LP 126-073,,148.38611550128425,50.75115703534306,165.4539360631156,49.01849275221285,Gaia2,M1.5 V,1.5,Lep13,,,,,,,,,,,,,0.459837,0.010745864,,Karmn,-524.04,0.05,16.27,0.05,Gaia2,39.6,0.03,Gaia2,25.25,0.02,Gaia2,14.79,0.34,Gaia2,-57.83,0.22,-3.17,0.06,-28.34,0.26,CC19,0.16121667393415157,0.0019774776120479176,Wolt17,,,D,CC19,,,,,,,,-0.5,,Lep13,,,,,,,,,,,,,,,,,,,,21.871,0.421,GALEX,16.056,0.009,SDSS9,13.558,0.337,TYC2,13.532,0.09,UCAC4,12.2812,0.0013,Gaia2,12.773,0.07,UCAC4,11.852,0.144,TYC2,11.1418,6.0E-4,Gaia2,12.045,0.03,UCAC4,11.653,UCAC3,11.443,0.01,UCAC4,10.1117,0.0015,Gaia2,10.449,0.01,UCAC4,10.0,US-B1,8.733,0.027,8.164,0.042,7.915,0.017,AAA,2M,7.743,0.028,7.684,0.02,7.594,0.018,7.465,0.118,AAAB,WISE,Single,-,,,,,,,,,,,,,No,,0,,,,,09:53:33.53,+50:45:03.8,2M,,Gamma,..F,,826957061916956544,,09533353+5045038
J09539+209,NLTT 22870,3571,148.47829106633364,20.948024604477784,211.71842414967114,49.205599238396694,Gaia2,M4.5 V,4.5,PMSU,,,,,,,,,,,,,0.14606519,0.0034703498,,Karmn,-345.92,0.21,392.8,0.31,Gaia2,104.5,0.12,Gaia2,9.57,0.01,Gaia2,-11.1,0.176,Sou18,-11.41,0.1,18.51,0.06,-14.64,0.13,CC19,0.059514372032488515,0.0015981546373389473,Wolt17,,,D,CC19,=,16.5,0.4,Jen09,0.615,,New16a,-4.36,,PMSU,,,,J095354.6+205636,0.0236,0.0105,-0.5,0.31,1.0,3.2,1.34,0.59,2.06,1.09,1RXS*,,,,,20.563,0.211,GALEX,17.322,0.012,SDSS9,,,,15.891,0.05,UCAC4,14.2827,0.0057,Gaia2,14.825,0.02,UCAC4,,,,12.378,8.0E-4,Gaia2,14.081,0.03,UCAC4,13.709,UCAC4,13.388,0.02,UCAC4,11.0791,0.0014,Gaia2,11.576,0.04,UCAC4,10.66,US-B1,9.208,0.022,8.6,0.021,8.326,0.018,AAA,2M,8.126,0.023,7.916,0.02,7.783,0.02,7.858,0.19,AAAB,WISE,Single,-,,,,,,,,,,,,,No,,0,,,,FCam [ALux] [LuckyCam],09:53:55.23,+20:56:46.0,2M,S1,Beta,..f,,628080246633611520,,09535523+2056460
J09557+353,G 116-065,3572,148.93145593967114,35.360256299960184,189.32815678982416,51.87103304494617,Gaia2,M3.0 V,3.0,PMSU,,,,,,,,,,,,,0.34383172,0.008232047,,Karmn,-36.12,0.09,-312.6,0.09,Gaia2,52.01,0.07,Gaia2,19.23,0.02,Gaia2,-10.76,0.74,Gaia2,8.58,0.45,-27.46,0.08,-10.52,0.58,CC19,0.04299205628763554,0.001960755802033082,Wolt17,,,D,CC19,,,,,,,,-1.41,,PMSU,,,,J095543.2+352206,0.105,0.019,-0.41,0.13,0.12,0.27,6.44,1.17,7.14,1.52,1RXS*,Flare?,Ger99,21.484,0.275,20.315,0.113,GALEX,16.529,0.008,SDSS9,,,,14.424,0.04,UCAC4,13.051,0.0027,Gaia2,13.565,0.07,UCAC4,,,,11.6294,9.0E-4,Gaia2,12.813,0.03,UCAC4,12.54,UCAC3,12.213,0.04,UCAC4,10.4704,0.0014,Gaia2,10.888,0.08,UCAC4,10.01,US-B1,8.85,0.034,8.297,0.018,8.043,0.02,AAA,2M,7.913,0.023,7.748,0.02,7.65,0.019,7.735,0.176,AAAB,WISE,Single,-,,,,,,,,,,,,,No,,0,,,,FastCam,09:55:43.61,+35:21:42.2,2M,,Gamma,..F,,795434510226597760,,09554360+3521421
J09561+627,BD+63 869,373,149.03326723490488,62.78595048842175,149.22208336057403,44.35804766669147,Gaia2,M0.0 V,0.0,PMSU,3980.0,51.0,4.66,0.07,0.07,0.16,Schw19,0.0727,0.001401,0.5668,0.01552,Schw19,0.5741,0.02047,,Schw19,-304.05,0.04,-583.6,0.05,Gaia2,94.94,0.04,Gaia2,10.533,0.004,Gaia2,14.917566808346677,0.01801811145826328,Lafa20,-24.94,0.01,-23.34,0.01,11.64,0.01,CC19,0.1049118344728917,0.0014206959323005588,Wolt17,,,YD,CC19,<,2.0,,Rein18,,,,-0.062,0.006,Schf19,,,Schf19,J095609.5+624728,0.0589,0.0119,-0.52,0.16,-0.69,0.35,3.27,0.66,0.27,0.07,1RXS,,,21.104,0.302,17.733,0.039,GALEX,14.912,0.006,SDSS9,10.822,0.034,TYC2,10.676,0.02,UCAC4,9.2101,0.0014,Gaia2,9.88,0.001,SDSS9,9.151,0.014,TYC2,8.2286,5.0E-4,Gaia2,9.182,0.03,UCAC4,8.434,UCAC3,8.407,0.001,PS1,7.2764,0.0013,Gaia2,7.668,0.001,SDSS9,7.3,US-B1,6.03,0.024,5.369,0.044,5.2,0.024,AAA,2M,5.119,0.202,4.896,0.106,5.044,0.014,4.96,0.036,BAAA,WISE,Single,-,,,,,,,,,,,,CARMENES+SOPHIE,No,,0,,CAFEbis,,(FastCam) [WD15],09:56:08.69,+62:47:18.6,2M,S3,Alpha,,,1051547052218220160,,09560868+6247185
J09564+226,NLTT 22978,3573,149.11014978475154,22.649182805831384,209.4584360328299,50.256609496353306,Gaia2,M4.0 V,4.0,PMSU,,,,,,,,,,,,,0.23728526,0.0056979847,,Karmn,-465.09,0.14,-258.96,0.12,Gaia2,54.49,0.09,Gaia2,18.35,0.03,Gaia2,53.0,4.0,New14,-54.39,2.23,-43.03,1.26,11.95,3.08,CC19,0.12353560064774355,0.005150537135439721,Wolt17,,,D,CC19,<,2.0,,Fou18,107.8,,New16a,0.005,0.037,New16b,,,,,,,,,,,,,,,,,,,,,,,17.608,0.011,SDSS9,,,,15.92,0.06,UCAC4,14.451,0.0028,Gaia2,14.971,0.03,UCAC4,,,,12.7183,7.0E-4,Gaia2,14.196,0.09,UCAC4,14.182,UCAC3,13.563,0.06,UCAC4,11.4592,0.0019,Gaia2,12.137,0.001,SDSS9,10.387,US-B1,9.621,0.023,9.03,0.022,8.724,0.019,AAA,2M,8.534,0.022,8.38,0.02,8.239,0.023,7.98,0.235,AAAB,WISE,Single,-,,,,,,,,,,,,,No,,0,,,,FCam [ALux] [LuckyCam],09:56:27.00,+22:39:01.5,2M,,Gamma,..F,,641821259671808896,,09562699+2239015
J09579+118,NLTT 23051,3576,149.48979122261565,11.807319105656042,224.88895363698623,46.600536740349284,Gaia2,M4.0 V,4.0,PMSU,,,,,,,,,,,,,0.268708,0.006670594,,Karmn,-422.69,0.14,-158.14,0.13,Gaia2,39.36,0.1,Gaia2,25.41,0.06,Gaia2,20.0,5.0,New14,-41.99,2.44,-32.91,2.42,-22.56,3.63,CC19,0.10917591800012712,0.004192256085077229,Wolt17,,,D,CC19,,,,,84.81,,New16a,-0.025,0.058,New16b,,,,,,,,,,,,,,,,,,,,,,,18.62,0.021,SDSS9,,,,16.574,0.16,UCAC4,14.9493,0.0064,Gaia2,15.477,0.06,UCAC4,,,,13.2142,0.001,Gaia2,14.719,0.08,UCAC4,14.592,UCAC3,14.222,0.23,UCAC4,11.9489,0.0024,Gaia2,12.422,0.04,UCAC4,11.2,US-B1,10.092,0.026,9.46,0.025,9.176,0.023,AAA,2M,8.985,0.023,8.826,0.021,8.653,0.025,8.55,,AAAU,WISE,Single,-,,,,,,,,,,,,,No,,0,,,,,09:57:57.99,+11:48:28.8,2M,,Gamma,..F,,3881331094645624960,,09575798+1148287
J09587+555,G 196-001,,149.6942495661615,55.549752779990634,158.27195520697578,48.00697335990554,Gaia2,M1.0 V,1.0,Lep13,,,,,,,,,,,,,0.57306004,0.014119209,,Karmn,-40.33,0.08,-237.97,0.1,Gaia2,26.85,0.06,Gaia2,37.24,0.08,Gaia2,-32.62,1.72,Gaia2,12.58,1.07,-49.34,0.44,-16.93,1.28,CC19,0.04729742505925341,6.006255931982933E-4,Wolt17,,,D,CC19,,,,,,,,-0.43,,Lep13,,,,,,,,,,,,,,,,,,,,20.897,0.146,GALEX,15.909,0.006,SDSS9,,,,13.621,0.03,UCAC4,12.3682,0.003,Gaia2,12.896,0.03,UCAC4,,,,11.2843,0.0011,Gaia2,12.058,0.01,UCAC4,11.684,UCAC3,11.475,0.01,UCAC4,10.2731,0.0018,Gaia2,10.559,0.05,UCAC4,9.89,US-B1,8.899,0.026,8.208,0.051,8.048,0.023,AAA,2M,7.885,0.026,7.9,0.02,7.767,0.02,7.577,0.118,AAAB,WISE,Single,-,,,,,,,,,,,,,No,,0,,,,,09:58:46.69,+55:33:02.6,2M,,Gamma,..F,,1045131676747611776,,09584669+5533026
